40,39
45,57
13,25
49,69
57,51
68,39
3,3
8,11
37,43
11,24
27,7
42,55
54,49
54,57
7,17
1,19
0,21
21,18
46,47
53,31
58,53
39,37
66,51
0,1
45,67
42,45
63,20
33,15
7,24
51,67
8,23
65,52
31,3
21,13
3,12
14,25
47,65
24,23
39,40
44,37
41,53
58,45
7,27
40,67
47,69
25,11
63,41
19,20
41,66
11,4
59,37
4,29
50,53
29,15
8,35
57,53
3,24
1,8
49,53
54,43
7,2
63,43
58,33
9,12
2,25
46,43
43,35
45,55
50,45
69,31
63,52
37,41
59,65
23,14
63,64
49,48
59,61
29,3
67,66
58,63
47,42
20,23
19,14
42,41
64,45
53,43
22,19
16,9
15,1
59,58
21,6
11,9
4,25
45,53
12,25
14,19
48,45
2,29
47,51
29,4
28,51
26,11
69,62
67,28
69,63
64,43
34,41
41,65
64,27
45,58
7,7
2,23
53,26
39,65
47,37
53,41
3,5
9,28
19,9
43,61
3,13
53,30
21,27
18,11
2,19
49,49
5,3
27,3
47,36
69,29
12,3
63,40
51,29
61,29
5,7
7,21
61,41
5,19
62,39
51,37
26,7
46,65
43,54
5,9
55,62
49,55
45,39
48,49
11,7
55,65
21,9
63,47
45,43
19,31
19,25
53,40
50,31
1,14
57,60
43,63
37,34
4,19
57,50
53,52
63,54
32,3
57,62
45,69
12,11
65,26
54,47
55,31
60,31
23,21
55,45
65,28
51,27
14,23
36,1
61,53
53,64
19,27
43,39
36,39
31,42
13,9
40,57
55,39
49,57
50,61
21,26
3,9
51,40
60,63
15,21
40,35
47,25
54,45
53,55
67,63
48,61
67,46
52,27
55,32
19,11
53,61
25,23
49,65
47,50
17,6
33,4
60,43
67,53
52,37
67,41
65,40
18,21
66,43
49,38
42,63
2,15
68,31
17,15
21,17
15,6
23,10
8,3
69,27
37,39
35,44
23,16
1,4
47,56
9,13
67,38
57,69
5,15
62,21
22,1
11,23
47,67
9,29
60,29
54,33
43,64
69,64
11,12
15,28
52,47
2,17
58,31
37,56
27,5
5,5
26,1
64,23
45,63
41,43
63,55
51,41
68,27
59,51
45,60
20,11
56,65
51,60
49,45
48,55
21,11
63,66
5,23
9,23
61,38
67,35
38,41
67,23
50,51
39,55
67,55
15,17
23,31
68,63
28,17
15,5
37,66
10,1
8,19
61,33
17,26
47,29
17,3
47,63
8,31
27,23
44,49
58,57
1,9
49,33
44,65
63,50
59,66
66,31
43,57
1,23
7,19
65,19
53,58
67,59
47,40
27,17
55,57
13,6
61,67
13,13
37,37
59,45
46,67
63,51
61,23
63,21
17,27
23,7
47,45
22,3
25,29
21,31
4,7
51,58
51,53
62,25
48,43
21,25
39,67
13,19
33,69
23,11
35,57
10,5
56,47
47,41
55,55
49,31
47,39
17,18
65,54
10,15
53,36
26,9
25,26
64,49
7,18
57,55
60,37
14,27
69,69
38,63
55,59
63,37
25,18
65,68
70,51
13,27
4,27
7,31
47,49
47,55
58,43
11,25
67,44
68,55
55,64
57,25
10,9
27,19
65,43
31,19
23,15
61,28
51,65
9,27
7,15
35,62
4,5
43,42
13,35
59,53
67,69
67,67
50,69
68,41
65,31
69,41
11,19
16,1
39,38
10,21
65,58
69,19
23,19
59,43
52,33
66,33
48,31
16,11
8,27
17,19
51,51
11,20
19,7
